name,county,latitude,longitude
Buffalo Grove,Cook,42.0905,-87.5735
Buffalo Hart,Sangamon,39.545,-89.2651
Buffalo Prairie,Rock Island,41.2018,-90.5117
Bulldog Crossing,Macon,39.4744,-89.0045
Bulpitt,Christian,39.353,-89.2526
Buncombe,Johnson,37.2817,-88.5837
Bungay,Hamilton,38.1045,-88.2431
Bunje,Bond,38.5933,-89.3528
Bunker Hill,Macoupin,39.0234,-89.5706
Bunkum,St Clair,38.3715,-90.0241
Bureau,Bureau,41.1721,-89.2159
Burgess,Mercer,41.0738,-90.3829
Burke,Carroll,42.0304,-90.0212
Burksville,Monroe,38.1602,-90.0909
Burlingame,Cass,39.5525,-90.0948
Burlington,Kane,42.031,-88.3253
Burnett,Bureau,41.1638,-89.3949
Burnham,Cook,41.382,-87.3324
Burns,Mclean,40.2401,-88.5842
Burnside,Cook,41.4313,-87.3553
Burnside,Hancock,40.3014,-91.06
Burnside,Knox,40.461,-90.1624
Burnt Prairie,White,38.1506,-88.1541
Burr Ridge,Du Page,41.4456,-87.5506
Burrowsville,Macon,39.4758,-88.3759
Burt,Tazewell,40.2017,-89.2206
Burton,Adams,39.5417,-91.1456
Burton View,Logan,40.1015,-89.2905
Burtons Bridge,McHenry,42.1647,-88.1344
Busenville,Vermilion,39.5914,-87.4032
Bush,Williamson,37.5036,-89.0752
Bushnell,Mcdonough,40.331,-90.3022
Bushton,Coles,39.3532,-88.0819
Butler,Montgomery,39.1158,-89.3202
Bybee,Fulton,40.3552,-90.1105
Byron,Ogle,42.0737,-89.152
Caber,Ford,40.5945,-88.1219
Caber,Kankakee,40.5945,-88.1219
Cable,Mercer,41.1702,-90.3026
Cache,Alexander,37.06,-89.1541
Cadiz,Hardin,37.3445,-88.1335
Cadwell,Moultrie,39.4052,-88.3118
Cahokia,St Clair,38.3415,-90.1124
Cairo,Alexander,37.0019,-89.1035
Cairo Junction,Alexander,37.0227,-89.113
Caldwell,Tazewell,40.3832,-89.3056
Caledonia,Boone,42.221,-88.5333
Caledonia Landing,Pulaski,37.1045,-89.0419
Calhoun,Richland,38.3901,-88.0237
Calloway,Christian,39.3344,-89.2119
Calumet City,Cook,41.3656,-87.3146
Calumet Park,Cook,41.3946,-87.3938
Calvin,White,38.1229,-88.0107
Camargo,Douglas,39.4801,-88.095
Cambon,Franklin,37.5358,-88.5953
Cambria,Williamson,37.4653,-89.0709
Cambridge,Henry,41.1813,-90.1134
Camden,Schuyler,40.0913,-90.4614
Cameron,Warren,40.532,-90.3102
Camp Algonquin,McHenry,42.1059,-88.1604
Camp Ground,Jefferson,38.202,-88.5006
Camp Grove,Marshall,41.0444,-89.3759
Camp Point,Adams,40.0221,-91.0409
Camp Travis,Clay,38.3936,-88.1953
Campbell,Vermilion,40.1128,-87.3446
Campbell Hill,Jackson,37.5548,-89.3256
Campus,Livingston,41.0124,-88.1822
Canton,Fulton,40.3329,-90.0206
Cantrall,Sangamon,39.5616,-89.4033
Cantrall,Sangamon,39.5057,-89.1641
Capron,Boone,42.2359,-88.4425
Carbon,St Clair,38.3538,-89.5621
Carbon Cliff,Rock Island,41.2941,-90.2326
Carbon Hill,Grundy,41.1749,-88.18
Carbondale,Jackson,37.4338,-89.13
Cardiff,Livingston,41.0306,-88.1714
Carle Springs,De Witt,40.1513,-88.5801
Carlinville,Macoupin,39.1647,-89.5254
Carlock,Mclean,40.3456,-89.0755
Carlsburg,Macoupin,39.05,-89.432
Carlyle,Clinton,38.3637,-89.2221
Carman,Henderson,40.4426,-91.0334
Carmi,White,38.0527,-88.0931
Carol Stream,Du Page,41.5445,-88.0805
Carpenter,Madison,38.5331,-89.5339
Carpentersville,Cook,42.0716,-88.1528
Carpentersville,Kane,42.0716,-88.1528
Carrier Mills,Saline,37.4103,-88.3758
Carrollton,Greene,39.1808,-90.2425
Carterville,Williamson,37.4536,-89.0438
Carthage,Hancock,40.2459,-91.081
Carthage,Ogle,41.5508,-89.1849
Carthage Lake,Henderson,40.4726,-91.0431
Cartter,Marion,38.3228,-88.5444
Cary,McHenry,42.1243,-88.1417
Cascade,Sangamon,39.4013,-89.2931
Casey,Clark,39.1757,-87.5933
Caseyville,St Clair,38.3812,-90.0132
Casner,Macon,39.4801,-88.4728
Cass,Cass,39.5805,-90.1609
Castle Fin,Clark,39.2812,-87.44
Castle Junction,Rock Island,41.2333,-90.344
Castleton,Stark,41.0704,-89.4222
Catharine,La Salle,41.3123,-88.4309
Catlin,Vermilion,40.0354,-87.4207
Caton Farm,Will,41.3355,-88.1421
Cave in Rock,Hardin,37.2809,-88.0959
Cayuga,Livingston,40.5628,-88.3501
Cazenovia,Woodford,40.5101,-89.1955
Cedar Park,Madison,38.452,-90.0614
Cedar Point,La Salle,41.1547,-89.0732
Cedarville,Stephenson,42.2233,-89.3759
Center Hill,Carroll,42.0451,-90.0246
Centerville,Calhoun,38.5549,-90.3418
Centerville,Knox,41.0352,-90.0315
Centerville,Macoupin,39.0603,-89.5841
Centerville,Piatt,40.0724,-88.2946
Centerville,White,38.1202,-88.0958
Central,Kendall,41.2826,-88.2602
Central City,Grundy,41.1416,-88.1654
Central City,Marion,38.3256,-89.0737
Centralia,Marion,38.313,-89.08
Centreville,St Clair,38.35,-90.073
Cereal,Livingston,40.423,-88.2104
Cerro Gordo,Piatt,39.5326,-88.4341
Chadwick,Carroll,42.0048,-89.5326
Chalfin Bridge,Monroe,38.1243,-90.1607
Challacombe,Macoupin,39.1306,-90.0716
Chambersburg,Pike,39.4902,-90.3926
Champaign,Champaign,40.0659,-88.1436
Champlin,Livingston,40.4659,-88.3245
Chana,Ogle,41.585,-89.1311
Chandlerville,Cass,40.0253,-90.0918
Channahon,Will,41.2546,-88.1343
Chapin,Morgan,39.4557,-90.2356
Chapman,Montgomery,39.062,-89.1901
Charleston,Coles,39.2946,-88.1034
Charlotte,Livingston,40.4911,-88.172
Charter Grove,De Kalb,42.0359,-88.3753
Chatham,Sangamon,39.4034,-89.4216
Chatsworth,Livingston,40.4513,-88.1731
Chatton,Adams,40.0903,-91.0158
Chauncey,Lawrence,38.5007,-87.5215
Chautauqua,Jersey,38.5752,-90.2308
Chautauqua Park,Mason,40.1922,-90.0307
Chebanse,Iroquois,41.0011,-87.5429
Chebanse,Kankakee,41.0011,-87.5429
Checkrow,Fulton,40.3315,-90.2241
Chemung,McHenry,42.2455,-88.4
Cheneyville,Vermilion,40.2809,-87.3505
Chenoa,Mclean,40.443,-88.4311
Cherry,Bureau,41.2537,-89.1248
Cherry Hill,Will,41.3124,-88.0052
Cherry Point,Edgar,39.4757,-87.4316
Cherry Valley,Winnebago,42.1405,-88.5656
Cherwood Ford,Cumberland,39.1207,-88.1248
Chester,Randolph,37.5449,-89.4919
Chesterfield,Macoupin,39.1518,-90.0347
Chesterfield,Macoupin,39.1452,-90.0353
Chestervale,Logan,40.0532,-89.1918
Chesterville,Douglas,39.4212,-88.2328
Chestline,Adams,39.5041,-90.5735
Chestnut,Logan,40.0313,-89.1107
Chicago,Cook,41.51,-87.39
Chicago Heights,Cook,41.3022,-87.3808
Chicago Ridge,Cook,41.4205,-87.4645
Chili,Hancock,40.1304,-91.0829
Chillicothe,Peoria,40.552,-89.291
Chinatown,Madison,38.4337,-89.5649
Chipps,Moultrie,39.3759,-88.3452
Chittyville,Williamson,37.4946,-89.014
Choat,Massac,37.1248,-88.4755
Choctaw,Clark,39.1656,-87.4317
Chrisman,Edgar,39.4813,-87.4025
Christopher,Franklin,37.5821,-89.0312
Churchill,Bureau,41.2315,-89.102
Churchville,Du Page,41.5606,-87.5714
Cicero,Cook,41.5044,-87.4514
Cimic,Sangamon,39.3524,-89.3921
Cincinnati Landing,Pike,39.3554,-91.1029
Cisco,Piatt,40.0041,-88.4334
Cisne,Wayne,38.3057,-88.2615
Cissna Park,Iroquois,40.3353,-87.5335
Clank,Alexander,37.1118,-89.193
Clare,De Kalb,42.0058,-88.4945
Claremont,Richland,38.431,-87.5817
Clarence,Ford,40.275,-87.5815
Clarendon Hills,Du Page,41.4751,-87.5717
Clarion,Bureau,41.3018,-89.1131
Clark,Greene,39.1535,-90.344
Clark Center,Clark,39.2145,-87.4655
Clarke City,Grundy,41.0929,-88.1434
Clarke City,Kankakee,41.0929,-88.1434
Clarksburg,Shelby,39.1948,-88.443
Clarksdale,Christian,39.2923,-89.2204
Clarksville,Clark,39.2706,-87.4752
Clarksville,Mclean,40.3902,-88.5054
Clarmin,Washington,38.1316,-89.4158
Claus,Will,41.2211,-87.3636
Clay City,Clay,38.4119,-88.2115
Clays Prairie,Edgar,39.4113,-87.3348
Claysville,Sangamon,39.5202,-89.5401
Clayton,Adams,40.0153,-90.5738
Claytonville,Iroquois,40.3401,-87.4923
Clear Lake,Cass,40.0302,-90.1832
Clear Lake,Sangamon,39.4849,-89.3407
Clearing,Cook,41.4641,-87.4542
Cleburne,Franklin,37.5609,-89.0313
Clements,Morgan,39.3708,-90.0903
Cleone,Clark,39.2523,-87.5427
Cleveland,Henry,41.3022,-90.1853
Cliffdale,Calhoun,39.2138,-90.3735
Clifford,Williamson,37.4925,-89.0438
Clifton,Iroquois,40.5607,-87.5604
Clifton Terrace,Madison,38.5546,-90.152
Clinton,De Witt,40.0913,-88.5752
Cloverdale,Du Page,41.5622,-88.0713
Cloverdale,Tazewell,40.3825,-89.3058
Coal City,Grundy,41.1716,-88.1708
Coal Hollow,Bureau,41.2156,-89.2148
Coal Valley,Rock Island,41.2543,-90.2739
Coaler,Iroquois,40.445,-87.4359
Coalton,Montgomery,39.1658,-89.1804
Coalton,Vermilion,40.2557,-87.3524
Coatsburg,Adams,40.0158,-91.0927
Cobden,Union,37.3153,-89.1512
Coello (North City),Franklin,37.5939,-89.0402
Coffeen,Montgomery,39.0521,-89.2326
Colby Point,McHenry,42.1747,-88.1424
Colchester,Mcdonough,40.2535,-90.4733
Coldbrook,Warren,40.5651,-90.3102
Coleman,Kane,41.5843,-88.175
Coles,Coles,39.3113,-88.2816
Coleta,Whiteside,41.5408,-89.4808
Colfax,Mclean,40.3401,-88.3659
Collins,Randolph,38.0115,-89.5652
Collinsville,Madison,38.4013,-89.5904
Collinsville,St Clair,38.4013,-89.5904
Collison,Vermilion,40.133,-87.4814
Colmar,Mcdonough,40.2043,-90.5328
Colona,Henry,41.2902,-90.2111
Colp,Williamson,37.4819,-89.0448
Columbia,Monroe,38.2637,-90.1204
Columbus,Adams,39.5917,-91.0848
