Columbia	Herkimer	1,580	35.073	0.030	42.929047, -75.046258	3604317431	00978855
Columbus	Chenango	975	37.368	0.124	42.691555, -75.369681	3601717486	00978856
Concord	Erie	8,494	69.934	0.160	42.545428, -78.702888	3602917585	00978857
Conesus	Livingston	2,473	32.891	2.980	42.703498, -77.641047	3605117618	00978858
Conesville	Schoharie	734	39.466	0.404	42.398075, -74.338293	3609517651	00978859
Conewango	Cattaraugus	1,857	36.114	0.022	42.225426, -79.006508	3600917684	00978860
Conklin	Broome	5,441	24.385	0.504	42.040720, -75.835038	3600717772	00978861
Conquest	Cayuga	1,819	35.222	1.096	43.117487, -76.656916	3601117849	00978862
Constable	Franklin	1,566	32.806	0.012	44.967307, -74.280786	3603317871	00978863
Constantia	Oswego	4,973	56.765	42.915	43.258840, -75.963734	3607517904	00978864
Copake	Columbia	3,615	40.762	1.280	42.129680, -73.549044	3602118102	00978865
Corinth	Saratoga	6,531	56.763	1.372	43.228513, -73.922216	3609118223	00978866
Corning	Steuben	6,270	36.850	0.503	42.149331, -77.014205	3610118267	00978868
Cornwall	Orange	12,646	26.653	1.479	41.414179, -74.061304	3607118300	00978869
Cortlandt	Westchester	41,592	39.255	10.761	41.261089, -73.902332	3611918410	00978871
Cortlandville	Cortland	8,509	49.720	0.180	42.603488, -76.117640	3602318421	00978872
Coventry	Chenango	1,655	48.697	0.167	42.291156, -75.629129	3601718619	00978873
Covert	Seneca	2,154	31.385	6.195	42.584405, -76.696609	3609918663	00978874
Covington	Wyoming	1,232	26.138	0.000	42.832671, -78.014813	3612118696	00978875
Coxsackie	Greene	8,918	36.865	1.548	42.345680, -73.863305	3603918729	00978876
Crawford	Orange	9,316	40.031	0.084	41.571349, -74.315687	3607118916	00978877
Croghan	Lewis	3,093	179.182	2.849	43.969084, -75.355598	3604919081	00978878
Crown Point	Essex	2,024	76.121	5.724	43.963848, -73.583301	3603119246	00978879
Cuba	Allegany	3,243	35.129	0.763	42.208385, -78.243639	3600319367	00978880
Cuyler	Cortland	980	43.477	0.032	42.726333, -75.936250	3602319499	00978881
Danby	Tompkins	3,329	53.553	0.222	42.332395, -76.472452	3610919620	00978882
Dannemora	Clinton	4,898	59.080	6.759	44.747379, -73.812971	3601919653	00978883
Dansville	Steuben	1,842	48.368	0.068	42.464632, -77.661656	3610119675	00978884
Danube	Herkimer	1,039	29.354	0.259	42.981082, -74.798257	3604319686	00978885
Darien	Genesee	3,158	47.371	0.219	42.908718, -78.382071	3603719719	00978886
Davenport	Delaware	2,965	51.563	0.350	42.454193, -74.902857	3602519763	00978887
Day	Saratoga	856	64.112	5.420	43.321068, -74.027621	3609119807	00978888
Dayton	Cattaraugus	1,886	35.527	0.618	42.376833, -78.995439	3600919840	00978889
De Kalb	St. Lawrence	2,434	82.523	0.684	44.475880, -75.365448	3608920038	00978893
De Peyster	St. Lawrence	998	42.927	2.169	44.535363, -75.458682	3608920335	00978898
DeRuyter	Madison	1,589	30.440	0.833	42.769678, -75.847084	3605320401	00978900
DeWitt (De Witt)	Onondaga	25,838	33.774	0.092	43.053891, -76.071795	3606720478	00978901
Decatur	Otsego	353	20.562	0.197	42.657096, -74.705713	3607719895	00978890
Deerfield	Oneida	4,273	32.941	0.107	43.185088, -75.151134	3606519928	00978891
Deerpark	Orange	7,901	66.502	1.452	41.442383, -74.656826	3607119961	00978892
Delaware	Sullivan	2,670	34.941	0.703	41.754935, -75.000363	3610520104	00978894
Delhi	Delaware	5,117	64.198	0.401	42.272354, -74.907546	3602520137	00978895
Denmark	Lewis	2,860	50.602	0.446	43.898222, -75.631239	3604920214	00978896
Denning	Ulster	551	105.666	0.099	41.955487, -74.482306	3611120247	00978897
Deposit	Delaware	1,712	43.015	1.564	42.095846, -75.369813	3602520357	00978899
Diana	Lewis	1,709	137.094	3.738	44.108159, -75.372574	3604920555	00978902
Dickinson	Broome	5,278	4.772	0.105	42.130568, -75.918054	3600720588	00978903
Dickinson	Franklin	823	44.224	0.089	44.728144, -74.539700	3603320610	00978904
Dix	Schuyler	3,864	36.258	0.454	42.334430, -76.899210	3609720676	00978905
Dover	Dutchess	8,699	55.190	1.149	41.679141, -73.568762	3602720819	00978906
Dresden	Washington	652	52.254	2.745	43.590870, -73.468547	3611520885	00978907
Dryden	Tompkins	14,435	93.640	0.690	42.478745, -76.362347	3610920962	00978908
Duane	Franklin	174	74.952	3.032	44.600715, -74.232730	3603320973	00978909
Duanesburg	Schenectady	6,122	70.782	1.250	42.777998, -74.172702	3609321006	00978910
Dunkirk	Chautauqua	1,318	6.228	0.054	42.469490, -79.320099	3601321116	00978912
Durham	Greene	2,725	49.314	0.041	42.373601, -74.153148	3603921204	00978913
Eagle	Wyoming	1,192	36.283	0.187	42.564549, -78.254056	3612121369	00978914
East Bloomfield	Ontario	3,634	33.195	0.139	42.899446, -77.422374	3606921699	00978915
East Fishkill	Dutchess	29,029	56.503	0.883	41.561643, -73.787605	3602721996	00978917
East Greenbush	Rensselaer	16,473	24.020	0.274	42.605098, -73.700320	3608322117	00978918
East Hampton	Suffolk	21,457	74.328	312.224	41.092293, -72.105673	3610322194	00978919
East Otto	Cattaraugus	1,062	40.070	0.326	42.408377, -78.743584	3600922678	00978921
East Rochester	Monroe	6,587	1.325	0.004	43.112210, -77.487176	3605522870	00978922
Eastchester	Westchester	32,363	4.853	0.088	40.953067, -73.813316	3611921820	00978916
Easton	Washington	2,336	62.304	0.934	43.029661, -73.535868	3611522656	00978920
Eaton	Madison	5,255	44.622	0.949	42.890200, -75.630077	3605323305	00978923
Eden	Erie	7,688	39.790	0.069	42.655012, -78.880010	3602923415	00978924
Edinburg	Saratoga	1,214	60.169	6.925	43.223115, -74.069902	3609123591	00978925
Edmeston	Otsego	1,826	44.297	0.084	42.722913, -75.260270	3607723613	00978926
Edwards	St. Lawrence	1,156	50.471	0.831	44.286726, -75.280789	3608923646	00978927
Elba	Genesee	2,370	35.649	0.043	43.093340, -78.171240	3603723756	00978928
Elbridge	Onondaga	5,922	37.539	0.756	43.052639, -76.437331	3606723800	00978929
Elizabethtown	Essex	1,163	81.633	1.477	44.191221, -73.650223	3603123833	00978930
Ellenburg	Clinton	1,743	106.567	0.890	44.811802, -73.864913	3601923921	00978931
Ellery	Chautauqua	4,528	47.454	0.117	42.189926, -79.353553	3601323976	00978932
Ellicott	Chautauqua	8,714	30.449	0.024	42.133033, -79.231506	3601323998	00978933
Ellicottville	Cattaraugus	1,598	45.095	0.093	42.307754, -78.643656	3600924031	00978934
Ellington	Chautauqua	1,643	36.545	0.014	42.220261, -79.120588	3601324053	00978935
Ellisburg	Jefferson	3,474	85.146	1.419	43.747325, -76.113151	3604524086	00978936
Elma	Erie	11,317	34.517	0.011	42.828313, -78.647604	3602924130	00978937
Elmira	Chemung	6,934	22.212	0.329	42.090471, -76.775621	3601524240	00978939
Enfield	Tompkins	3,512	36.732	0.104	42.441736, -76.620542	3610924548	00978940
Ephratah	Fulton	1,682	39.170	0.277	43.037432, -74.561468	3603524603	00978941
Erin	Chemung	1,962	44.247	0.221	42.184078, -76.671706	3601524636	00978942
Erwin	Steuben	8,037	38.656	0.501	42.134822, -77.152700	3610124647	00978943
Esopus	Ulster	9,041	37.312	4.628	41.833329, -73.985378	3611124691	00978944
Esperance	Schoharie	2,076	19.666	0.371	42.751864, -74.316177	3609524724	00978945
Essex	Essex	671	31.631	5.969	44.280005, -73.397080	3603124768	00978946
Evans	Erie	16,356	41.530	0.032	42.654716, -79.004985	3602924801	00978947
Exeter	Otsego	987	32.078	0.615	42.798940, -75.077522	3607724845	00978948
Fabius	Onondaga	1,964	46.497	0.275	42.819749, -75.985163	3606724878	00978949
Fairfield	Herkimer	1,627	41.296	0.162	43.131120, -74.937983	3604324933	00978950
Fallsburg	Sullivan	12,870	77.622	1.488	41.736992, -74.603756	3610525241	00978951
Farmersville	Cattaraugus	1,090	47.833	0.138	42.384220, -78.405914	3600925340	00978952
Farmington	Ontario	11,825	39.430	0.000	42.989455, -77.308679	3606925406	00978953
Fayette	Seneca	3,929	54.819	11.583	42.842874, -76.858550	3609925505	00978954
Fenner	Madison	1,726	31.074	0.048	42.974926, -75.773344	3605325593	00978955
Fenton	Broome	6,674	32.773	0.592	42.201492, -75.803310	3600725604	00978956
Fine	St. Lawrence	1,512	166.799	2.618	44.154272, -75.085765	3608925791	00978957
Fishkill	Dutchess	22,107	27.336	4.655	41.515512, -73.923762	3602725978	00978958
Fleming	Cayuga	2,636	21.819	2.480	42.874450, -76.577616	3601126231	00978959
Florence	Oneida	1,025	54.922	0.094	43.418917, -75.739740	3606526297	00978960
Florida	Montgomery	2,696	50.132	1.274	42.894991, -74.201025	3605726308	00978961
Floyd	Oneida	3,819	34.616	0.175	43.239952, -75.324083	3606526385	00978962
Forestburgh	Sullivan	819	54.781	1.532	41.561802, -74.709618	3610526528	00978963
Forestport	Oneida	1,535	76.915	1.985	43.496073, -75.147819	3606526627	00978964
Fort Ann	Washington	6,190	108.999	1.780	43.460929, -73.529859	3611526715	00978965
Fort Covington	Franklin	1,676	36.734	0.000	44.950102, -74.489629	3603326737	00978966
Fort Edward	Washington	6,371	26.630	0.796	43.230604, -73.559186	3611526781	00978967
Fowler	St. Lawrence	2,202	59.325	1.368	44.275595, -75.403237	3608927100	00978968
Frankfort	Herkimer	7,636	36.421	0.106	43.040732, -75.136940	3604327199	00978969
Franklin	Delaware	2,411	81.249	0.278	42.330395, -75.110553	3602527232	00978970
Franklin	Franklin	1,140	169.827	5.395	44.520107, -74.069770	3603327243	00978971
Franklinville	Cattaraugus	2,990	51.812	0.173	42.304423, -78.497988	3600927342	00978972
Freedom	Cattaraugus	2,405	40.987	0.329	42.471187, -78.377562	3600927441	00978973
Freetown	Cortland	757	25.486	0.142	42.520267, -76.023217	3602327496	00978974
