Kenmore	Erie	15,423	1.435	0.000	42.964634, -78.871286	3639232	02390919		Tonawanda
Kensington	Nassau	1,161	0.254	0.000	40.793077, -73.722242	3639309	02390920		North Hempstead
Kinderhook	Columbia	1,211	2.104	0.000	42.394382, -73.703768	3639562	02390921		Kinderhook
Kings Point	Nassau	5,005	3.355	0.643	40.817892, -73.739320	3639694	02390922		North Hempstead
Kiryas Joel	Orange	20,175	1.109	0.006	41.340667, -74.167274	3639853	02390923		Monroe
Lacona	Oswego	582	1.110	0.003	43.642654, -76.066066	3640200	02390924		Sandy Creek
Lake George	Warren	906	0.586	0.000	43.425924, -73.715168	3640508	02390925		Lake George
Lake Grove	Suffolk	11,163	2.947	0.001	40.857797, -73.116818	3640530	02390926		Brookhaven
Lake Placid	Essex	2,521	1.371	0.166	44.284230, -73.986439	3640761	02390927		North Elba
Lake Success	Nassau	2,934	1.845	0.050	40.763874, -73.711086	3640937	02390928		North Hempstead
Lakewood	Chautauqua	3,002	1.976	0.000	42.099123, -79.320066	3641069	02390929		Busti
Lancaster	Erie	10,352	2.698	0.034	42.900571, -78.668662	3641135	02390930		Lancaster
Lansing	Tompkins	3,529	4.610	0.019	42.489865, -76.487548	3641223	02390931		Lansing
Larchmont	Westchester	5,864	1.077	0.002	40.925961, -73.751960	3641333	02390932		Mamaroneck
Lattingtown	Nassau	1,739	3.755	0.077	40.894640, -73.595343	3641432	02390933		Oyster Bay
Laurel Hollow	Nassau	1,952	2.958	0.204	40.856700, -73.477542	3641487	02390934		Oyster Bay
Laurens	Otsego	263	0.128	0.000	42.531319, -75.088716	3641520	02390935		Laurens
Lawrence	Nassau	6,483	3.719	0.912	40.604103, -73.712824	3641553	02390936		Hempstead
Le Roy	Genesee	4,391	2.688	0.003	42.978012, -77.990880	3642026	02390937		Le Roy
Leicester	Livingston	468	0.367	0.000	42.770950, -77.896805	3641872	02390938		Leicester
Lewiston	Niagara	2,701	1.097	0.139	43.171869, -79.039561	3642147	02390939		Lewiston
Liberty	Sullivan	4,392	2.602	0.004	41.796593, -74.743195	3642224	02390940		Liberty
Lima	Livingston	2,139	1.346	0.000	42.906948, -77.612263	3642323	02390941		Lima
Lindenhurst	Suffolk	27,253	3.760	0.057	40.685751, -73.371594	3642554	02390943		Babylon
Lisle	Broome	320	0.936	0.000	42.349054, -76.005522	3642642	02390944		Lisle
Little Valley	Cattaraugus	1,143	1.002	0.000	42.249365, -78.798751	3642829	02390945		Little Valley
Liverpool	Onondaga	2,347	0.757	0.000	43.106202, -76.209386	3642884	02390946		Salina
Livonia	Livingston	1,409	1.007	0.000	42.821961, -77.668854	3642950	02390947		Livonia
Lloyd Harbor	Suffolk	3,660	9.363	1.296	40.921496, -73.443386	3643005	02390948		Huntington
Lodi	Seneca	291	0.551	0.002	42.613400, -76.821978	3643214	02390949		Lodi
Lowville	Lewis	3,470	1.911	0.000	43.786667, -75.487416	3643720	02390950		Lowville
Lynbrook	Nassau	19,427	2.014	0.000	40.657880, -73.674195	3643874	02390951		Hempstead
Lyndonville	Orleans	838	1.024	0.000	43.321345, -78.388869	3643918	02390952		Yates
Lyons Falls	Lewis	566	0.971	0.093	43.617008, -75.361634	3644006	02390954		Lyonsdale & West Turin
Madison	Madison	305	0.502	0.000	42.897531, -75.512144	3644424	02390956		Madison
Malone	Franklin	5,911	3.111	0.066	44.848221, -74.289580	3644710	02390957		Malone
Malverne	Nassau	8,514	1.058	0.000	40.674540, -73.672102	3644787	02390958		Hempstead
Mamaroneck	Westchester	18,929	3.170	3.407	40.934435, -73.726644	3644831	02390959		Mamaroneck & Rye
Manchester	Ontario	1,709	1.176	0.000	42.968351, -77.231188	3644853	02390960		Manchester
Manlius	Onondaga	4,704	1.785	0.002	43.001057, -75.981633	3645018	02390961		Manlius
Mannsville	Jefferson	354	0.897	0.033	43.717816, -76.066836	3645073	02390962		Ellisburg
Manorhaven	Nassau	6,556	0.465	0.166	40.839412, -73.711098	3645106	02390963		North Hempstead
Marathon	Cortland	919	1.130	0.002	42.444808, -76.036238	3645392	02390964		Marathon
Marcellus	Onondaga	1,813	0.622	0.000	42.983760, -76.340197	3645480	02390965		Marcellus
Margaretville	Delaware	596	0.684	0.018	42.145267, -74.650708	3645557	02390966		Middletown
Massapequa Park	Nassau	17,008	2.210	0.043	40.680909, -73.449689	3645997	02390968		Oyster Bay
Massena	St. Lawrence	10,936	4.524	0.200	44.929024, -74.892973	3646019	02390969		Louisville, Massena & Norfolk
Matinecock	Nassau	810	2.658	0.005	40.858436, -73.583658	3646107	02390970		Oyster Bay
Maybrook	Orange	2,958	1.354	0.006	41.488026, -74.212468	3646162	02390971		Hamptonburgh & Montgomery
Mayfield	Fulton	832	0.907	0.177	43.101933, -74.266014	3646206	02390972		Mayfield
Mayville	Chautauqua	1,711	1.991	0.002	42.253099, -79.501913	3646239	02390973		Chautauqua
